airline_name,overall_rating,review_date,seat_type,type_of_traveller,is_recommended,verified,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,inflight_entertainment,value_for_money,rating_category
Aegean Airlines,9.0,2023-05-30,Business Class,Couple Leisure,1,True,5.0,5.0,5.0,5.0,2.0,5.0,High
Aegean Airlines,1.0,,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,,Economy Class,Business,0,False,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,8.0,2023-04-30,Economy Class,Couple Leisure,1,True,4.0,5.0,3.0,5.0,2.0,5.0,High
Aegean Airlines,1.0,2023-04-26,Economy Class,Solo Leisure,1,True,5.0,5.0,5.0,5.0,3.0,5.0,Low
Aegean Airlines,9.0,,Economy Class,Solo Leisure,1,True,4.0,5.0,5.0,4.0,2.0,4.0,High
Aegean Airlines,1.0,2023-04-20,Economy Class,Solo Leisure,0,True,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2023-04-07,Economy Class,Solo Leisure,0,True,3.0,3.0,2.0,1.0,2.0,2.0,Low
Aegean Airlines,3.0,,Economy Class,Solo Leisure,0,True,4.0,5.0,3.0,1.0,2.0,3.0,Low
Aegean Airlines,9.0,2023-03-26,Business Class,Couple Leisure,1,True,4.0,5.0,5.0,4.0,4.0,5.0,High
Aegean Airlines,8.0,,Business Class,Family Leisure,1,True,2.0,4.0,3.0,5.0,4.0,5.0,High
Aegean Airlines,1.0,2023-03-16,Economy Class,Business,0,True,3.0,2.0,2.0,1.0,1.0,1.0,Low
Aegean Airlines,2.0,2023-03-15,Economy Class,Family Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,5.0,,Economy Class,Family Leisure,0,True,1.0,5.0,2.0,5.0,2.0,3.0,Medium
Aegean Airlines,1.0,2023-02-15,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2023-02-09,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,2.0,2023-01-13,Economy Class,Solo Leisure,0,False,1.0,2.0,1.0,2.0,2.0,2.0,Low
Aegean Airlines,3.0,2023-01-09,Economy Class,Family Leisure,0,True,2.0,3.0,3.0,3.0,3.0,2.0,Low
Aegean Airlines,5.0,,Economy Class,Solo Leisure,0,True,3.0,3.0,3.0,3.0,1.0,3.0,Medium
Aegean Airlines,1.0,2022-12-18,Economy Class,Solo Leisure,0,True,2.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2022-11-13,Economy Class,Family Leisure,0,True,4.0,5.0,4.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-11-13,Economy Class,Solo Leisure,1,True,5.0,5.0,3.0,5.0,2.0,5.0,Low
Aegean Airlines,1.0,2022-11-04,Economy Class,Family Leisure,0,True,2.0,1.0,2.0,3.0,2.0,3.0,Low
Aegean Airlines,2.0,,Economy Class,Business,0,True,2.0,4.0,3.0,2.0,1.0,3.0,Low
Aegean Airlines,1.0,2022-10-26,Economy Class,Solo Leisure,1,True,4.0,5.0,4.0,5.0,2.0,5.0,Low
Aegean Airlines,1.0,2022-10-10,Economy Class,Couple Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,6.0,2022-10-06,Economy Class,Business,0,True,3.0,3.0,3.0,3.0,3.0,3.0,Medium
Aegean Airlines,1.0,2022-10-05,Economy Class,Couple Leisure,0,True,2.0,2.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,,Economy Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,5.0,2022-09-30,Economy Class,Solo Leisure,0,True,4.0,5.0,3.0,1.0,1.0,3.0,Medium
Aegean Airlines,1.0,2022-09-20,Economy Class,Couple Leisure,0,True,2.0,5.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,5.0,2022-09-18,Economy Class,Family Leisure,1,True,5.0,5.0,4.0,4.0,2.0,3.0,Medium
Aegean Airlines,1.0,2022-09-18,Economy Class,Solo Leisure,1,True,5.0,5.0,5.0,5.0,2.0,5.0,Low
Aegean Airlines,4.0,2022-09-17,Economy Class,Business,0,True,3.0,3.0,1.0,4.0,2.0,2.0,Medium
Aegean Airlines,2.0,2022-09-11,Economy Class,Couple Leisure,0,True,3.0,1.0,2.0,2.0,2.0,3.0,Low
Aegean Airlines,6.0,2022-09-05,Economy Class,Solo Leisure,1,True,2.0,4.0,4.0,4.0,2.0,3.0,Medium
Aegean Airlines,2.0,,Economy Class,Couple Leisure,0,True,2.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,2.0,,Economy Class,Couple Leisure,0,True,2.0,3.0,3.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-08-18,Economy Class,Solo Leisure,1,True,5.0,5.0,5.0,5.0,4.0,5.0,Low
Aegean Airlines,5.0,2022-08-12,Economy Class,Solo Leisure,0,True,3.0,4.0,3.0,1.0,2.0,1.0,Medium
Aegean Airlines,1.0,2022-08-11,Economy Class,Business,1,False,4.0,5.0,5.0,5.0,5.0,5.0,Low
Aegean Airlines,1.0,2022-08-11,Economy Class,Family Leisure,0,True,2.0,2.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,2.0,,Economy Class,Business,0,True,3.0,3.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-07-29,Economy Class,Business,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-07-11,Economy Class,Couple Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,9.0,2022-07-09,Economy Class,Solo Leisure,1,False,5.0,5.0,5.0,5.0,4.0,5.0,High
Aegean Airlines,2.0,2022-07-08,Economy Class,Solo Leisure,0,True,3.0,3.0,1.0,3.0,2.0,2.0,Low
Aegean Airlines,1.0,2022-07-07,Premium Economy,Solo Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,,Economy Class,Solo Leisure,0,True,2.0,2.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,9.0,2022-06-26,Economy Class,Solo Leisure,1,False,5.0,5.0,5.0,5.0,4.0,5.0,High
Aegean Airlines,1.0,2022-06-25,Economy Class,Business,0,False,3.0,3.0,3.0,1.0,2.0,1.0,Low
Aegean Airlines,7.0,2022-06-20,Business Class,Couple Leisure,1,True,4.0,5.0,3.0,1.0,2.0,1.0,High
Aegean Airlines,1.0,2022-06-20,Economy Class,Solo Leisure,0,False,2.0,3.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2022-06-18,Economy Class,Solo Leisure,1,False,3.0,3.0,2.0,1.0,2.0,5.0,Low
Aegean Airlines,4.0,2022-05-05,Premium Economy,Couple Leisure,0,True,4.0,1.0,2.0,4.0,2.0,3.0,Medium
Aegean Airlines,1.0,2022-05-04,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-04-24,Economy Class,Solo Leisure,1,True,5.0,5.0,5.0,5.0,2.0,5.0,Low
Aegean Airlines,9.0,2022-04-20,Economy Class,Solo Leisure,1,False,4.0,5.0,5.0,5.0,5.0,5.0,High
Aegean Airlines,1.0,2022-04-19,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2022-04-19,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,3.0,2022-04-08,Business Class,Business,0,True,1.0,5.0,3.0,5.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-04-07,Economy Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2022-04-04,Economy Class,Couple Leisure,0,True,1.0,3.0,2.0,3.0,2.0,1.0,Low
Aegean Airlines,1.0,,Economy Class,Solo Leisure,1,False,4.0,5.0,5.0,5.0,4.0,5.0,Low
Aegean Airlines,1.0,,Economy Class,Business,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aegean Airlines,1.0,2022-03-06,Economy Class,Business,1,True,5.0,5.0,5.0,5.0,2.0,5.0,Low
Aegean Airlines,9.0,,Economy Class,Solo Leisure,1,False,4.0,5.0,4.0,5.0,4.0,5.0,High
Aegean Airlines,6.0,2022-02-20,Economy Class,Family Leisure,1,False,2.0,4.0,2.0,5.0,1.0,2.0,Medium
Aegean Airlines,4.0,2022-01-05,Economy Class,Family Leisure,1,True,4.0,2.0,1.0,3.0,1.0,1.0,Medium
Aegean Airlines,1.0,,Economy Class,Family Leisure,0,True,2.0,4.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2021-12-25,Economy Class,Solo Leisure,1,True,5.0,5.0,5.0,5.0,2.0,5.0,Low
Aegean Airlines,4.0,2021-12-07,Economy Class,Business,0,True,4.0,4.0,3.0,1.0,3.0,1.0,Medium
Aegean Airlines,5.0,2021-11-15,Economy Class,Business,0,True,4.0,5.0,2.0,4.0,2.0,2.0,Medium
Aegean Airlines,2.0,2021-11-04,Economy Class,Business,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,2.0,,Economy Class,Family Leisure,0,True,2.0,3.0,1.0,1.0,2.0,2.0,Low
Aegean Airlines,7.0,2021-10-10,Economy Class,Solo Leisure,1,True,3.0,4.0,4.0,4.0,4.0,5.0,High
Aegean Airlines,7.0,,Economy Class,Couple Leisure,1,True,3.0,3.0,3.0,4.0,2.0,5.0,High
Aegean Airlines,1.0,,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,5.0,2021-09-26,Economy Class,Solo Leisure,0,True,3.0,4.0,2.0,4.0,2.0,3.0,Medium
Aegean Airlines,2.0,2021-09-14,Economy Class,Solo Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2021-09-12,Economy Class,Couple Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aegean Airlines,3.0,2021-09-10,Economy Class,Solo Leisure,0,True,4.0,5.0,4.0,3.0,2.0,3.0,Low
Aegean Airlines,3.0,2021-09-09,Economy Class,Business,0,True,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aegean Airlines,1.0,2021-09-04,Business Class,Solo Leisure,1,False,3.0,5.0,4.0,5.0,3.0,4.0,Low
Aegean Airlines,9.0,,Economy Class,Family Leisure,1,False,4.0,5.0,5.0,5.0,5.0,5.0,High
Aer Lingus,3.0,,Economy Class,Couple Leisure,0,False,4.0,4.0,3.0,1.0,3.0,3.0,Low
Aer Lingus,1.0,2023-07-18,Economy Class,Couple Leisure,0,True,1.0,4.0,1.0,3.0,2.0,2.0,Low
Aer Lingus,1.0,2023-07-18,Economy Class,Couple Leisure,1,True,3.0,5.0,5.0,5.0,2.0,5.0,Low
Aer Lingus,3.0,2023-07-18,Economy Class,Couple Leisure,0,False,2.0,2.0,2.0,4.0,2.0,1.0,Low
Aer Lingus,2.0,2023-07-15,Economy Class,Solo Leisure,0,False,3.0,3.0,2.0,1.0,2.0,2.0,Low
Aer Lingus,1.0,2023-07-14,Economy Class,Couple Leisure,0,False,2.0,2.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,1.0,2023-07-10,Economy Class,Family Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,2.0,,Economy Class,Couple Leisure,0,False,2.0,4.0,4.0,1.0,1.0,3.0,Low
Aer Lingus,1.0,2023-06-30,Economy Class,Family Leisure,0,False,3.0,4.0,2.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-06-30,Economy Class,Family Leisure,0,True,2.0,2.0,1.0,3.0,3.0,3.0,Low
Aer Lingus,1.0,2023-06-29,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-06-28,Economy Class,Couple Leisure,0,False,1.0,5.0,2.0,1.0,2.0,1.0,Low
Aer Lingus,9.0,2023-06-27,Economy Class,Family Leisure,1,True,4.0,5.0,2.0,4.0,2.0,5.0,High
Aer Lingus,1.0,2023-06-25,Economy Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,1.0,2023-06-20,Economy Class,Couple Leisure,0,True,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-06-18,Economy Class,Solo Leisure,0,True,3.0,5.0,5.0,1.0,3.0,1.0,Low
Aer Lingus,1.0,2023-06-17,Economy Class,Couple Leisure,0,False,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,7.0,2023-06-14,Business Class,Couple Leisure,1,True,5.0,4.0,3.0,5.0,2.0,4.0,High
Aer Lingus,2.0,2023-06-14,Economy Class,Family Leisure,0,True,3.0,4.0,4.0,3.0,4.0,2.0,Low
Aer Lingus,3.0,2023-06-13,Economy Class,Business,0,False,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-06-13,Economy Class,Family Leisure,0,False,3.0,3.0,3.0,1.0,3.0,1.0,Low
Aer Lingus,1.0,2023-06-11,Business Class,Business,0,True,1.0,1.0,1.0,1.0,2.0,1.0,Low
Aer Lingus,7.0,2023-06-04,Economy Class,Solo Leisure,1,True,5.0,2.0,2.0,2.0,2.0,3.0,High
Aer Lingus,1.0,2023-05-28,Business Class,Business,0,True,2.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,3.0,2023-05-28,Economy Class,Solo Leisure,0,True,4.0,5.0,1.0,4.0,2.0,4.0,Low
Aer Lingus,2.0,2023-05-27,Economy Class,Family Leisure,0,True,4.0,3.0,3.0,1.0,3.0,2.0,Low
Aer Lingus,1.0,2023-05-24,Economy Class,Business,1,True,5.0,5.0,2.0,5.0,2.0,5.0,Low
Aer Lingus,1.0,,Economy Class,Couple Leisure,0,False,3.0,4.0,4.0,1.0,1.0,3.0,Low
Aer Lingus,8.0,2023-05-19,Premium Economy,Business,1,False,3.0,4.0,4.0,4.0,3.0,4.0,High
Aer Lingus,1.0,2023-05-18,Business Class,Couple Leisure,0,True,3.0,1.0,1.0,1.0,2.0,4.0,Low
Aer Lingus,3.0,2023-05-18,Economy Class,Solo Leisure,0,True,3.0,1.0,1.0,3.0,4.0,2.0,Low
Aer Lingus,3.0,2023-05-17,Business Class,Business,0,True,3.0,2.0,2.0,2.0,3.0,2.0,Low
Aer Lingus,3.0,2023-05-14,Economy Class,Family Leisure,0,False,2.0,3.0,2.0,1.0,3.0,2.0,Low
Aer Lingus,1.0,2023-05-12,Economy Class,Solo Leisure,0,True,2.0,1.0,1.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-05-10,Economy Class,Solo Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,1.0,2023-05-08,Economy Class,Couple Leisure,1,True,2.0,5.0,2.0,5.0,2.0,5.0,Low
Aer Lingus,3.0,,Economy Class,Family Leisure,0,False,4.0,4.0,4.0,1.0,4.0,3.0,Low
Aer Lingus,1.0,2023-04-27,Economy Class,Solo Leisure,0,False,1.0,1.0,2.0,1.0,2.0,1.0,Low
Aer Lingus,9.0,2023-04-15,Economy Class,Solo Leisure,1,False,5.0,4.0,3.0,5.0,2.0,5.0,High
Aer Lingus,1.0,2023-04-15,Economy Class,Business,0,True,1.0,5.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,1.0,2023-04-09,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,2.0,2023-04-07,Economy Class,Family Leisure,0,True,1.0,1.0,1.0,1.0,1.0,1.0,Low
Aer Lingus,1.0,,Economy Class,Couple Leisure,0,False,2.0,1.0,1.0,1.0,2.0,1.0,Low
Aer Lingus,6.0,2023-02-28,Economy Class,Solo Leisure,0,True,4.0,2.0,1.0,3.0,2.0,3.0,Medium
Aer Lingus,6.0,2023-01-30,Economy Class,Couple Leisure,1,False,1.0,3.0,1.0,3.0,3.0,4.0,Medium
Aer Lingus,1.0,2023-01-09,Economy Class,Couple Leisure,0,True,3.0,3.0,2.0,1.0,2.0,1.0,Low
Aer Lingus,1.0,2023-01-08,Business Class,Family Leisure,0,True,2.0,1.0,1.0,1.0,2.0,1.0,Low
